,group,child,parent
43,10002950_4,Computations on polynomials,Computations
44,10002950_4,Computations on matrices,Computations
45,10002950_4,Computations in finite fields,Computations
46,10002950_4,Arbitrary-precision arithmetic,Computations
47,10002950_4,Number-theoretic computations,Computations
48,10002950_4,Differential equations,Mathematical optimization
49,10002950_4,Differential algebraic equations,Differential equations
50,10002950_4,Differential variational inequalities,Differential equations
51,10002950_4,Interval arithmetic,Mathematical optimization
52,10002950_4,Mesh generation,Mathematical optimization
53,10002950_4,Randomized local search,Mathematical optimization
54,10002950_4,Tabu search,Mathematical optimization
55,10002950_4,Gröbner bases and other special bases,Mathematical optimization
56,10002950_4,Lambda calculus,Mathematical optimization
57,10002950_4,Developmental representations,Mathematical optimization
58,10002950_4,Non-parametric optimization,Mathematical optimization
59,10002950_4,Network optimization,Mathematical optimization
60,10002950_4,Stochastic control and optimization,Mathematical optimization
61,10002950_4,Integral equations,Mathematical analysis
62,10002950_5,Algebraic topology,Topology
63,10002950_5,Geometric topology,Topology
64,10002950_5,Point-set topology,Topology
65,10002950_5,Continuous functions,Topology
66,10002950_5,Topology,Continuous mathematics
67,10002951_3,Collaborative filtering,Collaborative and Social Computing Systems and Tools
68,10002951_3,Blogs,Collaborative and Social Computing Systems and Tools
69,10002951_3,Wikis,Collaborative and Social Computing Systems and Tools
70,10002951_3,Social networking sites,Collaborative and Social Computing Systems and Tools
71,10002951_3,Social tagging systems,Collaborative and Social Computing Systems and Tools
72,10002951_3,Reputation systems,Collaborative and Social Computing Systems and Tools
73,10002951_3,Multimedia streaming,Multimedia Information Systems
74,10002951_3,Multimedia content creation,Multimedia Information Systems
75,10002951_3,Multimedia databases,Multimedia Information Systems
76,10002951_3,Digital libraries and archives,Multimedia Information Systems
77,10002951_3,Data warehouses,Data Management and Analytics
78,10002951_3,Data mining,Data Management and Analytics
79,10002951_3,Data stream mining,Data Management and Analytics
80,10002951_3,Data cleaning,Data Management and Analytics
81,10002951_3,Data analytics,Data Management and Analytics
82,10002951_3,Association rules,Data Management and Analytics
83,10002951_3,Clustering,Data Management and Analytics
84,10002951_3,Nearest-neighbor search,Data Management and Analytics
85,10002951_3,Enterprise resource planning,Enterprise Information Systems
86,10002951_3,Enterprise applications,Enterprise Information Systems
87,10002951_3,Enterprise information systems,Enterprise Information Systems
88,10002951_3,Data centers,Enterprise Information Systems
89,10002951_3,Geographic information systems,Geographic Information Systems
90,10002951_3,Location based services,Geographic Information Systems
91,10002951_3,Spatial-temporal systems,Geographic Information Systems
92,10002951_3,Global positioning systems,Geographic Information Systems
93,10002951_3,Computing platforms,Computing Platforms and Networking
94,10002951_3,Intranets,Computing Platforms and Networking
95,10002951_3,Extranets,Computing Platforms and Networking
96,10002951_3,Sensor networks,Computing Platforms and Networking
97,10002951_3,Expert systems,Artificial Intelligence and Expert Systems
98,10002951_3,Decision support systems,Artificial Intelligence and Expert Systems
99,10002951_3,Computational advertising,Artificial Intelligence and Expert Systems
100,10002951_3,Massively multiplayer online games,Online Communities and Gaming
101,10002951_3,Synchronous editors,Online Communities and Gaming
102,10002951_3,Asynchronous editors,Online Communities and Gaming
103,10002951_3,Online analytical processing,Online Communities and Gaming
104,10002951_3,Collaborative and Social Computing Systems and Tools,Information Systems Applications
105,10002951_3,Multimedia Information Systems,Information Systems Applications
106,10002951_3,Data Management and Analytics,Information Systems Applications
107,10002951_3,Enterprise Information Systems,Information Systems Applications
108,10002951_3,Geographic Information Systems,Information Systems Applications
109,10002951_3,Computing Platforms and Networking,Information Systems Applications
110,10002951_3,Artificial Intelligence and Expert Systems,Information Systems Applications
111,10002951_3,Online Communities and Gaming,Information Systems Applications
112,10002978_1,Mathematical foundations of cryptography,Cryptography
113,10002978_1,Symmetric cryptography and hash functions,Cryptography
114,10002978_1,Public key (asymmetric) techniques,Cryptography
115,10002978_1,Block and stream ciphers,Symmetric cryptography and hash functions
116,10002978_1,Hash functions and message authentication codes,Symmetric cryptography and hash functions
117,10002978_1,Public key encryption,Public key (asymmetric) techniques
118,10002978_1,Digital signatures,Public key (asymmetric) techniques
119,10002978_1,Key management,Cryptography
120,10002978_1,Cryptanalysis and other attacks,Cryptography
121,10002978_1,Information-theoretic techniques,Cryptography
122,10002978_10,Usability in security and privacy,Human and societal aspects of security and privacy
123,10002978_10,Social aspects of security and privacy,Human and societal aspects of security and privacy
124,10002978_10,Economics of security and privacy,Human and societal aspects of security and privacy
125,10002978_10,Privacy protections,Human and societal aspects of security and privacy
126,10002978_2,Formal security models,Formal methods and theory of security
127,10002978_2,Logic and verification,Formal methods and theory of security
128,10002978_2,Security requirements,Formal methods and theory of security
129,10002978_2,Trust frameworks,Formal methods and theory of security
130,10002978_3,Authentication,Security services
131,10002978_3,Multi-factor authentication,Authentication
132,10002978_3,Graphical / visual passwords,Authentication
133,10002978_3,Biometrics,Authentication
134,10002978_3,Access control,Security services
135,10002978_3,Authorization,Access control
136,10002978_3,Privacy-preserving protocols,Security services
137,10002978_3,Digital rights management,Privacy-preserving protocols
138,10002978_3,"Pseudonymity, anonymity and untraceability",Privacy-preserving protocols
139,10002978_4,Malware and its mitigation,Intrusion/anomaly detection and malware mitigation
140,10002978_4,Artificial immune systems,Intrusion/anomaly detection and malware mitigation
141,10002978_4,Intrusion detection systems,Intrusion/anomaly detection and malware mitigation
142,10002978_4,Social engineering attacks,Intrusion/anomaly detection and malware mitigation
143,10002978_4,Phishing,Social engineering attacks
144,10002978_4,Spoofing attacks,Social engineering attacks
145,10002978_5,Hardware attacks and countermeasures,Hardware security implementation
146,10002978_5,Hardware-based security protocols,Hardware security implementation
147,10002978_5,Security in hardware,Hardware security implementation
148,10002978_5,Tamper-proof and tamper-resistant designs,Security in hardware
149,10002978_5,Malicious design modifications,Security in hardware
150,10002978_5,Hardware reverse engineering,Malicious design modifications
151,10002978_5,Embedded systems security,Hardware security implementation
152,10002978_5,Side-channel analysis and countermeasures,Hardware attacks and countermeasures
153,10002978_6,Operating systems security,Systems security
154,10002978_6,Distributed systems security,Systems security
155,10002978_6,File system security,Operating systems security
156,10002978_6,Browser security,Operating systems security
157,10002978_6,Information flow control,Systems security
158,10002978_6,Virtualization and security,Systems security
159,10002978_6,Mobile platform security,Systems security
160,10002978_6,Penetration testing,Systems security
161,10002978_6,Vulnerability management,Systems security
162,10002978_6,Vulnerability scanners,Vulnerability management
163,10002978_6,Trusted computing,Systems security
164,10002978_6,Firewalls,Systems security
165,10002978_6,Denial-of-service attacks,Systems security
166,10002978_8,Data anonymization and sanitization,Database and storage security
167,10002978_8,Information accountability and usage control,Database and storage security
168,10002978_8,Database activity monitoring,Database and storage security
169,10002978_8,Management and querying of encrypted data,Database and storage security
170,10002978_9,Software security engineering,Software and application security
171,10002978_9,Web application security,Software and application security
172,10002978_9,Social network security and privacy,Software and application security
173,10002978_9,Domain-specific security and privacy architectures,Software and application security
174,10002978_9,Software reverse engineering,Software and application security
175,10003033_1,Layering,Network architectures
176,10003033_1,Naming and addressing,Network architectures
177,10003033_1,Network design principles,Network architectures
178,10003033_1,Programming interfaces,Network architectures
179,10003033_2,Network protocol design,Network protocols
180,10003033_2,Formal specifications,Network protocols
181,10003033_2,Protocol testing and verification,Network protocols
182,10003033_2,Link-layer protocols,Network protocols
183,10003033_2,Cross-layer protocols,Network protocols
184,10003033_2,Presentation protocols,Network protocols
185,10003033_2,Routing protocols,Network protocols
186,10003033_2,Signaling protocols,Network protocols
187,10003033_2,Peer-to-peer protocols,Network protocols
188,10003033_2,Network File System (NFS) protocol,Network protocols
189,10003033_2,Network policy,Network protocols
190,10003033_2,Network layer protocols,Network protocols
191,10003033_2,Application layer protocols,Network protocols
192,10003033_2,Time synchronization protocols,Network protocols
193,10003033_2,OAM protocols,Network protocols
194,10003033_2,Protocol correctness,Network protocols
195,10003033_2,Transport protocols,Network protocols
196,10003033_2,Session protocols,Network protocols
197,10003033_3,Middle boxes / network appliances,Network components
198,10003033_3,Cognitive radios,Network components
199,10003033_3,Bridges and switches,Network components
200,10003033_3,Network servers,Network components
201,10003033_3,Logical nodes,Network components
202,10003033_3,Intermediate nodes,Network components
203,10003033_3,Routers,Network components
204,10003033_3,Physical links,Network components
205,10003033_3,Repeaters,Network components
206,10003033_3,Network adapters,Network components
207,10003033_3,Network domains,Network components
208,10003033_3,End nodes,Network components
209,10003033_3,"Wireless access points, base stations and infrastructure",Network components
210,10003033_4,Network control algorithms,Network algorithms
211,10003033_4,Control path algorithms,Network control algorithms
212,10003033_4,Data path algorithms,Network control algorithms
213,10003033_4,Network economics,Network algorithms
214,10003033_4,Network resources allocation,Network economics
215,10003033_4,Network design and planning algorithms,Network algorithms
216,10003033_4,Traffic engineering algorithms,Network design and planning algorithms
217,10003033_4,Packet classification,Network algorithms
218,10003033_4,Packet scheduling,Network algorithms
219,10003033_4,Deep packet inspection,Packet classification
220,10003033_5,Network performance evaluation,Network performance analysis
221,10003033_5,Network measurement,Network performance analysis
222,10003033_5,Network experimentation,Network performance analysis
223,10003033_5,Network simulations,Network performance analysis
224,10003033_5,Network performance modeling,Network performance analysis
225,10003033_6,Network topology types,Network topology
226,10003033_6,Physical topologies,Network topology types
227,10003033_6,Logical / virtual topologies,Network topology types
228,10003033_6,Network structure,Network topology types
229,10003033_6,Bus networks,Physical topologies
230,10003033_6,Ring networks,Physical topologies
231,10003033_6,Star networks,Physical topologies
232,10003033_6,Mesh networks,Physical topologies
233,10003033_6,Point-to-point networks,Physical topologies
234,10003033_6,Token ring networks,Ring networks
235,10003033_6,Wireless mesh networks,Mesh networks
236,10003033_6,Fiber distributed data interface (FDDI),Ring networks
237,10003033_6,Network range,Network topology
238,10003033_6,Local area networks (LANs),Network range
239,10003033_6,Metropolitan area networks (MANs),Network range
240,10003033_6,Wide area networks (WANs),Network range
241,10003033_6,Very long-range networks,Network range
242,10003033_6,Short-range networks,Network range
243,10003033_6,Network dynamics,Network topology
244,10003033_6,Network manageability,Network topology
245,10003033_6,Network properties,Network topology
246,10003033_6,Network reliability,Network properties
247,10003033_6,Network mobility,Network properties
248,10003033_6,Error detection and error correction,Network properties
249,10003033_6,Network security,Network properties
250,10003033_6,Network privacy and anonymity,Network properties
251,10003033_6,Topology analysis and generation,Network topology
252,10003033_6,Hybrid networks,Network topology types
253,10003033_7,Network management,Network services
254,10003033_7,Network monitoring,Network services
255,10003033_7,Naming and addressing,Network services
256,10003033_7,In-network processing,Network services
257,10003033_7,Location based services,Network services
258,10003033_7,Programmable networks,Network services
259,10003033_7,Cloud computing,Network services
260,10003033_8,Wired access networks,Network types
261,10003033_8,Wireless access networks,Network types
262,10003033_8,Home networks,Network types
263,10003033_8,Storage area networks,Network types
264,10003033_8,Data center networks,Network types
265,10003033_8,Mobile networks,Network types
266,10003033_8,Wireless personal area networks,Network types
267,10003033_8,Wireless local area networks,Network types
268,10003033_8,Mobile ad hoc networks,Network types
269,10003033_8,Overlay and other logical network structures,Network types
270,10003033_8,Peer-to-peer networks,Network types
271,10003033_8,Sensor networks,Network types
272,10003033_8,Network on chip,Network types
273,10003033_8,Cyber-physical networks,Network types
274,10003033_8,Online social networks,Network types
275,10003033_8,Social media networks,Online social networks
276,10003033_8,Packet-switching networks,Network types
277,10003033_8,Ad hoc networks,Network types
278,10003033_8,Public Internet,Network types
279,10003033_8,World Wide Web (network structure),Network types
280,10003120_1,"HCI theory, concepts and models",Human computer interaction (HCI)
281,10003120_1,HCI design and evaluation methods,Human computer interaction (HCI)
282,10003120_1,Interactive systems and tools,Human computer interaction (HCI)
283,10003120_1,Interaction devices,Human computer interaction (HCI)
284,10003120_1,Interaction techniques,Human computer interaction (HCI)
285,10003120_1,Interaction paradigms,Human computer interaction (HCI)
286,10003120_1,User models,Human computer interaction (HCI)
287,10003120_1,Displays and imagers,Human computer interaction (HCI)
288,10003120_1,Heuristic evaluations,HCI design and evaluation methods
289,10003120_1,Walkthrough evaluations,HCI design and evaluation methods
290,10003120_1,Usability testing,HCI design and evaluation methods
291,10003120_1,Empirical studies in HCI,HCI design and evaluation methods
292,10003120_1,Field studies,HCI design and evaluation methods
293,10003120_1,Laboratory experiments,HCI design and evaluation methods
294,10003120_1,User studies,HCI design and evaluation methods
295,10003120_1,User interface programming,Interactive systems and tools
296,10003120_1,User interface toolkits,Interactive systems and tools
297,10003120_1,User interface management systems,Interactive systems and tools
298,10003120_1,Keyboards,Interaction devices
299,10003120_1,Pointing devices,Interaction devices
300,10003120_1,Touch screens,Interaction devices
301,10003120_1,Haptic devices,Interaction devices
302,10003120_1,Graphics input devices,Interaction devices
303,10003120_1,Interaction devices,Interaction devices
304,10003120_1,Pointing,Interaction techniques
305,10003120_1,Gestural input,Interaction techniques
306,10003120_1,Natural language interfaces,Interaction techniques
307,10003120_1,Sound-based input / output,Interaction techniques
308,10003120_1,Web-based interaction,Interaction techniques
309,10003120_1,Mixed / augmented reality,Human computer interaction (HCI)
310,10003120_1,Virtual reality,Human computer interaction (HCI)
311,10003120_1,Hypertext / hypermedia,Human computer interaction (HCI)
312,10003120_1,Command line interfaces,Human computer interaction (HCI)
313,10003120_1,Graphical user interfaces,Human computer interaction (HCI)
314,10003120_1,Collaborative interaction,Human computer interaction (HCI)
315,10003120_1,Auditory feedback,Human computer interaction (HCI)
316,10003120_2,User centered design,Interaction design
317,10003120_2,Participatory design,User centered design
318,10003120_2,Contextual design,User centered design
319,10003120_2,User interface design,User centered design
320,10003120_2,Interaction design process and methods,Interaction design
321,10003120_2,Interface design prototyping,Interaction design process and methods
322,10003120_2,"Interaction design theory, concepts and paradigms",Interaction design process and methods
323,10003120_2,Activity centered design,Interaction design
324,10003120_2,Scenario-based design,Interaction design
325,10003120_2,Wireframes,Interaction design
326,10003120_2,Empirical studies in interaction design,Interaction design
327,10003120_2,Systems and tools for interaction design,Interaction design
328,10003120_3,Collaborative and social computing systems and tools,Collaborative and social computing
329,10003120_3,"Collaborative and social computing theory, concepts and paradigms",Collaborative and social computing
330,10003120_3,Collaborative and social computing design and evaluation methods,Collaborative and social computing
331,10003120_3,Collaborative and social computing devices,Collaborative and social computing
332,10003120_3,Social media,Collaborative and social computing
333,10003120_3,Social content sharing,Social media
334,10003120_3,Social tagging,Social media
335,10003120_3,Social recommendation,Social media
336,10003120_3,Collaborative filtering,Social media
337,10003120_3,Social network analysis,Social media
338,10003120_3,Social networks,Collaborative and social computing
339,10003120_3,Collaborative content creation,Collaborative and social computing
340,10003120_3,Social navigation,Collaborative and social computing
341,10003120_3,Ethnographic studies,Collaborative and social computing
342,10003120_3,Empirical studies in collaborative and social computing,Collaborative and social computing
343,10003120_3,Social engineering (social sciences),Collaborative and social computing
344,10003120_3,Computer supported cooperative work,Collaborative and social computing
345,10003120_4,Ubiquitous computing,Ubiquitous and mobile computing
346,10003120_4,Mobile computing,Ubiquitous and mobile computing
347,10003120_4,Ubiquitous and mobile devices,Ubiquitous and mobile computing
348,10003120_4,Mobile devices,Ubiquitous and mobile devices
349,10003120_4,Mobile phones,Mobile devices
350,10003120_4,Smartphones,Mobile devices
351,10003120_4,Tablet computers,Mobile devices
352,10003120_4,Personal digital assistants,Mobile devices
353,10003120_4,E-book readers,Mobile devices
354,10003120_4,Portable media players,Mobile devices
355,10003120_4,Handheld game consoles,Ubiquitous and mobile devices
356,10003120_4,Ubiquitous and mobile computing systems and tools,Ubiquitous and mobile computing
357,10003120_4,Interactive whiteboards,Ubiquitous and mobile computing systems and tools
358,10003120_4,Ambient intelligence,Ubiquitous and mobile computing
359,10003120_4,"Ubiquitous and mobile computing theory, concepts and paradigms",Ubiquitous and mobile computing
360,10003120_4,Empirical studies in ubiquitous and mobile computing,Ubiquitous and mobile computing
361,10003120_4,Ubiquitous and mobile computing design and evaluation methods,Ubiquitous and mobile computing
362,10003120_5,"Visualization theory, concepts and paradigms",Visualization
363,10003120_5,Visualization techniques,Visualization
364,10003120_5,Graph drawings,Visualization techniques
365,10003120_5,Treemaps,Visualization techniques
366,10003120_5,Heat maps,Visualization techniques
367,10003120_5,Hyperbolic trees,Visualization techniques
368,10003120_5,Dendrograms,Visualization techniques
369,10003120_5,Cladograms,Visualization techniques
370,10003120_5,Visualization application domains,Visualization
371,10003120_5,Scientific visualization,Visualization application domains
372,10003120_5,Geographic visualization,Visualization application domains
373,10003120_5,Visual analytics,Visualization application domains
374,10003120_5,Visualization systems and tools,Visualization
375,10003120_5,Visualization toolkits,Visualization systems and tools
376,10003120_5,Visualization design and evaluation methods,Visualization
377,10003120_5,Empirical studies in visualization,Visualization
378,10003120_5,Information visualization,Visualization
379,10003120_6,"Accessibility theory, concepts and paradigms",Accessibility
380,10003120_6,Accessibility design and evaluation methods,Accessibility
381,10003120_6,Accessibility technologies,Accessibility
382,10003120_6,Empirical studies in accessibility,Accessibility
383,10003120_6,Accessibility systems and tools,Accessibility
384,10003456_3,Cultural characteristics,User characteristics
385,10003456_3,Religious orientation,Cultural characteristics
386,10003456_3,Race and ethnicity,Cultural characteristics
387,10003456_3,Geographic characteristics,User characteristics
388,10003456_3,Gender,User characteristics
389,10003456_3,Women,Gender
390,10003456_3,Men,Gender
391,10003456_3,Sexual orientation,User characteristics
392,10003456_3,Age,User characteristics
393,10003456_3,Adolescents,Age
394,10003456_3,Children,Age
395,10003456_3,Seniors,Age
396,10003456_3,People with disabilities,User characteristics
397,10003752_1,Concurrency,Models of computation
398,10003752_1,Process calculi,Models of computation
399,10003752_1,Lambda calculus,Models of computation
400,10003752_1,Abstract machines,Models of computation
401,10003752_1,Turing machines,Models of computation
402,10003752_1,Computability,Models of computation
403,10003752_1,Parallel computing models,Models of computation
404,10003752_1,Distributed computing models,Models of computation
405,10003752_1,Timed and hybrid models,Models of computation
406,10003752_1,Streaming models,Models of computation
407,10003752_1,Probabilistic computation,Models of computation
408,10003752_1,Recursive functions,Models of computation
409,10003752_1,Interactive computation,Models of computation
410,10003752_1,Quantum computation theory,Models of computation
411,10003752_1,Quantum complexity theory,Quantum computation theory
412,10003752_1,Quantum query complexity,Quantum computation theory
413,10003752_1,Quantum communication complexity,Quantum computation theory
414,10003752_1,Quantum information theory,Quantum computation theory
415,10003752_2,Algebraic language theory,Formal languages and automata theory
416,10003752_2,Formalisms,Formal languages and automata theory
417,10003752_2,Grammars and context-free languages,Formal languages and automata theory
418,10003752_2,Transducers,Formal languages and automata theory
419,10003752_2,Rewrite systems,Formal languages and automata theory
420,10003752_2,Automata extensions,Formal languages and automata theory
421,10003752_2,Quantitative automata,Automata extensions
422,10003752_2,Automata over infinite objects,Automata extensions
423,10003752_2,Regular languages,Formal languages and automata theory
424,10003752_2,Tree languages,Formal languages and automata theory
425,10003752_3,Complexity classes,Complexity theory and logic
426,10003752_3,"Problems, reductions and completeness",Complexity theory and logic
427,10003752_3,Oracles and decision trees,Complexity theory and logic
428,10003752_3,Circuit complexity,Complexity theory and logic
429,10003752_3,Communication complexity,Complexity theory and logic
430,10003752_3,Algebraic complexity theory,Complexity theory and logic
431,10003752_3,Proof complexity,Complexity theory and logic
432,10003752_3,Quantum complexity theory,Complexity theory and logic
433,10003752_3,Computational complexity and cryptography,Complexity theory and logic
434,10003752_3,Cryptographic primitives,Computational complexity and cryptography
435,10003752_3,Interactive proof systems,Computational complexity and cryptography
436,10003752_3,Cryptographic protocols,Computational complexity and cryptography
437,10003752_4,Linear logic,Logic
438,10003752_4,Modal and temporal logics,Logic
439,10003752_4,Description logics,Logic
440,10003752_4,Equational logic and rewriting,Logic
441,10003752_4,Higher order logic,Logic
442,10003752_4,Constructive mathematics,Logic
443,10003752_4,Proof theory,Logic
444,10003752_4,Type theory,Logic
445,10003752_4,Programming logic,Logic
446,10003752_4,Hoare logic,Programming logic
447,10003752_4,Separation logic,Programming logic
448,10003752_4,Logic and verification,Logic
449,10003752_4,Verification by model checking,Logic and verification
450,10003752_4,Constraint and logic programming,Logic
451,10003752_4,Finite Model Theory,Logic
452,10003752_4,Abstraction,Logic
453,10003752_4,Automated reasoning,Logic
454,10003752_6,"Randomness, geometry and discrete structures",Randomness
455,10003752_6,Generating random combinatorial structures,Randomness
456,10003752_6,Random projections and metric embeddings,Randomness
457,10003752_6,Expander graphs and randomness extractors,Randomness
458,10003752_6,Pseudorandomness and derandomization,Randomness
459,10003752_6,Computational geometry,Randomness
460,10003752_6,Random search heuristics,Randomness
461,10003752_6,Error-correcting codes,Randomness
462,10003752_6,Random walks and Markov chains,Randomness
463,10003752_6,Random network models,Randomness
464,10003752_8,Semantics and reasoning,Program semantics
465,10003752_8,Algebraic semantics,Semantics and reasoning
466,10003752_8,Axiomatic semantics,Semantics and reasoning
467,10003752_8,Denotational semantics,Semantics and reasoning
468,10003752_8,Operational semantics,Semantics and reasoning
469,10003752_8,Action semantics,Semantics and reasoning
470,10003752_8,Assertions,Semantics and reasoning
471,10003752_8,Pre- and post-conditions,Semantics and reasoning
472,10003752_8,Invariants,Semantics and reasoning
473,10003752_8,Program specifications,Semantics and reasoning
474,10003752_8,Program verification,Semantics and reasoning
475,10003752_8,Program analysis,Semantics and reasoning
476,10003752_8,Program reasoning,Semantics and reasoning
477,10003752_8,Abstraction,Program semantics
478,10003752_8,Program constructs,Program semantics
479,10003752_8,Functional constructs,Program constructs
480,10003752_8,Object oriented constructs,Program constructs
481,10003752_8,Control primitives,Program constructs
482,10003752_8,Type structures,Program semantics
483,10003752_8,Program schemes,Program semantics
484,10003752_8,Categorical semantics,Program semantics
485,10003752_8,Parsing,Program semantics
486,10010147_1,Algebraic algorithms,Symbolic and algebraic manipulation
487,10010147_1,Exact arithmetic algorithms,Algebraic algorithms
488,10010147_1,Number theory algorithms,Algebraic algorithms
489,10010147_1,Boolean algebra algorithms,Algebraic algorithms
490,10010147_1,Linear algebra algorithms,Algebraic algorithms
491,10010147_1,Equation and inequality solving algorithms,Algebraic algorithms
492,10010147_1,Combinatorial algorithms,Algebraic algorithms
493,10010147_1,Discrete calculus algorithms,Algebraic algorithms
494,10010147_1,Theorem proving algorithms,Symbolic and algebraic manipulation
495,10010147_1,Computer algebra systems,Symbolic and algebraic manipulation
496,10010147_1,Special-purpose algebraic systems,Computer algebra systems
497,10010147_1,Representation of mathematical objects,Symbolic and algebraic manipulation
498,10010147_1,Representation of polynomials,Representation of mathematical objects
499,10010147_1,Representation of Boolean functions,Representation of mathematical objects
500,10010147_1,Representation of exact numbers,Representation of mathematical objects
501,10010147_1,Representation of mathematical functions,Representation of mathematical objects
502,10010147_1,Hybrid symbolic-numeric methods,Symbolic and algebraic manipulation
503,10010147_1,Symbolic calculus algorithms,Algebraic algorithms
504,10010147_1,Nonalgebraic algorithms,Symbolic and algebraic manipulation
505,10010147_1,Optimization algorithms,Symbolic and algebraic manipulation
506,10010147_2,Parallel algorithms,Parallel computing methodologies
507,10010147_2,Parallel programming languages,Parallel computing methodologies
508,10010147_5,Modeling methodologies,Modeling and simulation
509,10010147_5,Model development and analysis,Modeling and simulation
510,10010147_5,Model verification and validation,Modeling and simulation
511,10010147_5,Simulation types and techniques,Modeling and simulation
512,10010147_5,Continuous models,Simulation types and techniques
513,10010147_5,Discrete-event simulation,Simulation types and techniques
514,10010147_5,Simulation by animation,Simulation types and techniques
515,10010147_5,Simulation languages,Simulation types and techniques
516,10010147_5,Simulation tools,Simulation types and techniques
517,10010147_5,Simulation environments,Simulation types and techniques
518,10010147_5,Interactive simulation,Simulation types and techniques
519,10010147_5,Real-time simulation,Simulation types and techniques
520,10010147_5,Distributed simulation,Simulation types and techniques
521,10010147_5,Massively parallel and high-performance simulations,Simulation types and techniques
522,10010147_5,Simulation support systems,Modeling and simulation
523,10010147_5,Simulation evaluation,Modeling and simulation
524,10010147_5,Quantum mechanic simulation,Simulation types and techniques
525,10010147_5,Molecular simulation,Simulation types and techniques
526,10010147_5,Artificial life,Simulation types and techniques
527,10010147_5,Visual analytics,Simulation support systems
528,10010147_5,Scientific visualization,Simulation support systems
529,10010147_5,Systems theory,Modeling methodologies
530,10010147_5,Network science,Modeling methodologies
531,10010147_5,Multiscale systems,Modeling methodologies
532,10010147_5,Uncertainty quantification,Model development and analysis
533,10010147_5,Data assimilation,Model development and analysis
534,10010147_5,Agent / discrete models,Simulation types and techniques
535,10010147_5,Continuous simulation,Simulation types and techniques
536,10010147_5,Rare-event simulation,Simulation types and techniques
537,10010147_6,Graphics systems and interfaces,Computer graphics
538,10010147_6,Rendering,Computer graphics
539,10010147_6,Ray tracing,Rendering
540,10010147_6,Rasterization,Rendering
541,10010147_6,Shape modeling,Computer graphics
542,10010147_6,Mesh geometry models,Shape modeling
543,10010147_6,Volumetric models,Shape modeling
544,10010147_6,Parametric curve and surface models,Shape modeling
545,10010147_6,Point-based models,Shape modeling
546,10010147_6,Animation,Computer graphics
547,10010147_6,Procedural animation,Animation
548,10010147_6,Motion capture,Animation
549,10010147_6,Image processing,Computer graphics
550,10010147_6,Image-based rendering,Image processing
551,10010147_6,Image manipulation,Image processing
552,10010147_6,Image compression,Image processing
553,10010147_6,Graphics processors,Computer graphics
554,10010147_6,Perception,Computer graphics
555,10010147_6,Graphics input devices,Computer graphics
556,10010147_6,Virtual reality,Computer graphics
557,10010147_6,Mixed / augmented reality,Computer graphics
558,10010147_6,Computational photography,Computer graphics
559,10010147_6,Motion processing,Computer graphics
560,10010147_6,Graphics file formats,Computer graphics
561,10010147_6,Texturing,Computer graphics
562,10010147_6,Collision detection,Computer graphics
563,10010147_6,Physical simulation,Computer graphics
564,10010147_6,Reflectance modeling,Computer graphics
565,10010147_6,Visibility,Computer graphics
566,10010147_6,Antialiasing,Computer graphics
567,10010147_6,Non-photorealistic rendering,Computer graphics
568,10010147_8,Concurrent algorithms,Concurrent computing methodologies
